sha256	old_path	new_path	classification
e31c2af4217af8ec257c0ce36f52f471b4927191f0f5e75e5b71e7e7d3ee9a0c	00_admin/V1_研究设计与数据需求.md	00_admin/versions/v1/V1_研究设计与数据需求.md	current_v1
c22c7009f8e6240011665a4ec5d4ffcc28acedc2d93da7411bd5e246e40450c7	00_admin/V1_最小必要数据与下载方案.md	00_admin/versions/v1/V1_最小必要数据与下载方案.md	current_v1
1385a259b8724b47603e408b2ed94b065df7b04450e449daea53475957804d0a	00_admin/DATA_INVENTORY.md	00_admin/versions/legacy_pre_v1/DATA_INVENTORY.md	deleted_after_audit_20260831
8e19cadee84d60052e9d7b3e6889e7680222e7e8eff5be18672aa313ef5c25cb	00_admin/manifests/BLOCKERS.tsv	00_admin/versions/legacy_pre_v1/BLOCKERS.tsv	deleted_after_audit_20260831
cd9b84fa71ec74fb00d69c6b5a9190c62e662c4033fe25dbde4dcbe02e5baf8a	00_admin/manifests/data_manifest.tsv	00_admin/versions/legacy_pre_v1/data_manifest.tsv	deleted_after_audit_20260831
e181553cdb783cf4d9edc13f9258e4ba9658e7e2d71c5f6431c78d3a1564a9b7	00_admin/manifests/V1_公开数据候选登记.tsv	00_admin/manifests/v1/V1_公开数据候选登记.tsv	current_v1
15ff941db914553e013dce1a52c005ef08f8a23c76c8745d00af6c878b6a59e6	00_admin/manifests/V1_国家能源局光伏统计来源.tsv	00_admin/manifests/v1/V1_国家能源局光伏统计来源.tsv	current_v1
35434165c53fa0c62cecfaea1c1b2ef970572807e87e99bf2d45f452ba332e2b	00_admin/manifests/V1_数据需求.tsv	00_admin/manifests/v1/V1_数据需求.tsv	current_v1
71e10ab933d6d1e5a77149956e0dd6f8eba43c751de48dc0efce85ab8f7e6b0e	00_admin/manifests/winter_wheat_sciencedb_v2_downloads.tsv	00_admin/manifests/deferred/winter_wheat/winter_wheat_sciencedb_v2_downloads.tsv	deferred
c1787649537b88266b86cf5f9c3582d29a5d66222a470ccdb457c61c856a0b1a	00_admin/manifests/winter_wheat_sciencedb_v2_urls.txt	00_admin/manifests/deferred/winter_wheat/winter_wheat_sciencedb_v2_urls.txt	deferred
