patch_id,objectid,inst_year,inst_date,major_type,pv_area_m2,geom_md5,kept_patch_id
P000453,355,2012,20120622,Grassland,332281.8707786279,bf8544da1d7501c25bfe35194426d6fd,P000452
P022114,27291,2018,20180627,Cropland,180976.40833003123,251eb456a7f9797d1c9d5b4cf510b325,P022113
P024503,16027,2011,20110602,Cropland,157.87569782808447,7fd3eead484318ee17cb106d1060668a,P024502
P026283,27119,2017,20170827,Woodland,3029.4453503490395,d1fe7cb5327f0edfdfce778a58a24d8b,P026282
P026285,27117,2022,20221207,Built-up land,2239.1264623774728,ceed668689216ec33740ea121067acee,P026284
P026287,27122,2017,20170827,Built-up land,351.24766102985,e5e2b7e0250777921535a11796fc980e,P026286
P026290,27120,2022,20221207,Woodland,922.009565541711,4b2f233cba3807da7007afae9062e037,P026289
P026292,27116,2018,20180725,Built-up land,4873.352691901574,5000f177f255a1da34d6116955881c5b,P026291
P026294,27118,2017,20170815,Built-up land,6497.90070583363,a835a35201313083e331415c6ed87840,P026293
P026299,27144,2011,20111111,Cropland,1361.3764348710038,702b5b59e9ce254a3e377b6b8aca09da,P026298
P026304,27126,2022,20221210,Grassland,2590.5588107853437,88fa4b2474f316de0c9c77a5d3f7c463,P026303
P026306,27139,2017,20170916,Woodland,2063.968806047923,dc0b30db9503eb7a86a9cd2587adfb84,P026305
P026309,27149,2011,20111111,Cropland,78917.31000801078,7baf5326198791482f6319ffecc90964,P026308
P026311,27134,2022,20221210,Woodland,3512.732409226583,7c65273b8948aec517d5e68984deadf2,P026310
P026313,27129,2022,20221210,Grassland,1405.0728073797923,b256129c8b8612a7aab2957dc7edd67e,P026312
P026315,27127,2022,20221210,Built-up land,1405.054624838529,856dd6f9ed36a4c49daac2ef4e75d06d,P026314
P026317,27121,2022,20221207,Built-up land,4610.058270915716,ee061770b83fe67cbac5738a245c1d00,P026316
P026319,27124,2022,20221207,Built-up land,526.8681860382222,338dbcaaf524d23b898901ba25f298e9,P026318
P026321,27141,2017,20170916,Woodland,18487.976628363565,bae8ef43845f8884e8ed70b6b7bc9900,P026320
P026326,27123,2022,20221207,Built-up land,3336.841355106554,e1004ec95576d3820bd4c912413fd642,P026325
P026328,27136,2017,20170916,Built-up land,22921.511529730727,55577e30d16a2cd8f5ce35c584ba2ae8,P026327
P026330,27132,2017,20170803,Built-up land,35126.72097566034,3a11c76e268e74f282db020b896e0947,P026329
P026333,27145,2017,20170916,Cropland,3776.72076822566,b11006a8b2e337dd718ae22eec1a4c56,P026332
P026335,27143,2017,20170916,Woodland,7948.66248782848,e45697922ddb2a1948c836b5016103ca,P026334
P026337,27137,2017,20170916,Built-up land,1405.1616155302245,11ad5428ee863e448ef2d97f314ebc86,P026336
P026340,27140,2017,20170929,Cropland,7948.544498575083,a6791798c822e4b1968f2ddca2dbb15b,P026339
P026343,27150,2011,20111111,Cropland,3249.9014431821934,410169526d3fe1a9ffc57777be02385c,P026342
P026345,27147,2018,20180717,Woodland,878.3197364763571,7470df3a4147a9b317de7d0bb7927377,P026344
P026348,27142,2017,20170921,Woodland,2547.0659368468446,fc34901a70650ae54d30ed7de87f2897,P026347
P026350,27131,2018,20180615,Woodland,1317.2576181064446,2b7719a03909a9766fb5d246ee027115,P026349
P026352,27133,2018,20180719,Built-up land,2371.0836457298556,b42aedb8abdb8bb45c0c55036c12dfb8,P026351
P026354,27146,2017,20170916,Woodland,8914.846855714133,3eafef30438744577a03edb808e802aa,P026353
P026356,27128,2016,20161210,Built-up land,37014.27279234913,81ef3b8ba9c12429c1839c35b7bc8042,P026355
P026359,27130,2018,20180615,Built-up land,3161.4117119834887,37dc3e0430edfa349dc17d4e5181a123,P026358
P026362,27148,2017,20170915,Cropland,27711.06528150917,a80248964d60237afaa598daf8ba7d65,P026361
P026365,27138,2012,20121006,Woodland,18223.47536482825,4026798e336970122d0b6b324831d81a,P026364
P026367,27135,2018,20180719,Built-up land,63096.95863787468,8c9b220590ec6431f8f318d2d722b8a1,P026366
P026372,27125,2018,20180530,Woodland,1448.9429488066885,58ab1e8f822becab525de60b1cdf429a,P026371
P026788,9287,2014,20140424,Cropland,16719.578746429175,14785a3035ca3234a658be2db9602ab0,P026787
P026789,9293,2014,20140424,Cropland,16719.578746429175,14785a3035ca3234a658be2db9602ab0,P026787
P028210,27160,2018,20180604,Built-up land,28105.915993744817,8fd794ac951d08c51b52753615ed9381,P028209
P028214,27159,2017,20170707,Built-up land,30829.054171406086,f62470f79c032c4abb5a8082a70ec078,P028213
P028221,27161,2017,20170529,Built-up land,35141.50904221409,a97eb8ebb81703c148f5dce505628eb2,P028220
P028227,27158,2017,20171125,Built-up land,9456.625398544928,430b0fab94e5ff79b5d6859ac847470f,P028226
